source	Golden Harvest Organics	http://www.ghorganics.com/page2.html													
#MINT: Deters white Cabbage Moth, ants, rodents, flea Beetle, fleas, Aphid and improves the health of cabbage and tomato. Use cuttings as a mulch around members of the brassica family. Mint flowers attract hoverflies and predatory wasps. EarthWorms are quite attracted to mint plantings. Be careful where you plant it as mint is an incredibly invasive perennial. We have found that placing peppermint cuttings (fresh or dried) where mice are a problem is very effective in driving them off! 																
Mint		help	Cabbage		repel	Cabbage Moth										
Mint		help	Cabbage		improve	health										
Mint		help	Tomato		improve	health										
#MOLE PLANTS: (castor bean plant) Deter moles and mice if planted here and there throughout the garden. Drop a seed of this in mole runs to drive them away. This is a poisonous plant. See Moles: Critter Trouble 																
#MORNING GLORIES: They attract hoverflies. Plus if you want a fast growing annual vine to cover something up morning glory is an excellent choice. 																
#NASTURTIUMS: Nasturtiums is an excellent companion for many plants. It is a companion to radishes, cabbage family plants (cabbage, collards, cauliflower, kale, kohlrabi, broccoli and mustards), deterring Aphid, Squash Bug, and striped pumpkin Beetle, and improving growth and flavor. Plant as a barrier around tomato, cabbage, cucumbers, and under fruit trees. Deters wooly aphid, whiteflies, Cucumber Beetle and other pests of the cucurbit family. Great trap crop for aphid (in particular the black aphid) which it does attract, especially the yellow flowering varieties. It likes poor soil with low moisture and no fertilizer. Keeping that in mind there is no reason not to set potted nasturtiums among your garden beds. It has been the practice of some fruit growers that planting nasturtiums every year in the root zone of fruit trees allow the trees to take up the pungent odor of the plants and repel bug. Studies say it is among the best at attracting predatory Insects. It has no taste effect on the fruit. A nice variety to grow is Alaska which has attractive green and white variegated leaves. The leaves, flowers and seeds of nasturtiums are all edible and wonderful in salads!																
Nasturtiums		help	Radish													
Nasturtiums		help		Brassica												
Nasturtiums		help	Squash													
Nasturtiums		help	Pumpkin													
Nasturtiums		help	Tomato													
Nasturtiums		help	Cucumber													
Nasturtiums		help	Fruit trees													
Nasturtiums		help		Cucurbitaceae	improve	pest_resistance										
#NETTLES, STINGING: The flowers attract Bees. Sprays made from these are rich in silica and calcium. Invigorating for plants and improves their disease resistance. Leaving the mixture to rot, it then makes an excellent liquid feed. Comfrey improves the liquid feed even more. Hairs on the nettles' leaves contain formic acid which "stings" you.																
#OKRA: (Hibiscus esculentus ) Plant lettuce around your okra plants and they will shade the lettuce in the summer giving you some more growing time. Okra also does well with peppers and eggplants as it helps protect these brittle stemmed plants from high winds. It also gets along with basil, cucumbers, melons, and black eyed peas. For planting with the peas plant your Okra first. When the okra is up and established plant the peas around the edges of the okra planting. You may find that the peas are far less bothered by Aphid when near okra.
Okra		help	Lettuce													
Okra		help		Capsicum annuum												
Okra		help	Eggplant													
Okra		like eachother	Basil													
Okra		like eachother	Cucumber													
Okra		like eachother	Melon													
Okra		like eachother	Black eyed pea													
#ONIONS: Planting chamomile and summer savory with onions improves their flavor. Other companions are carrot, leek, Beets, kohlrabi, strawberries, brassicas, dill, lettuce and tomato. Intercropping onions and leeks with your carrots confuses the carrot and Onion Fly! Onions planted with strawberries help the berries fight disease. Keep onions away from peas and asparagus.																
	Allium	help	Chamomile		improve	flavor										
	Allium	help	Summer savory		improve	flavor										
	Allium	like	Carrot		repel	Onion Fly										
	Allium	help	Carrot		repel	Carrot Fly										
	Allium	like eachother	Leek													
	Allium	like eachother	Beetroot													
	Allium	like eachother	Kohlrabi													
	Allium	like eachother	Strawberry													
	Allium	like eachother		Brassica												
	Allium	like eachother	Dill													
	Allium	like eachother	Lettuce													
	Allium	like eachother	Tomato													
	Allium	like eachother	Carrot													
	Allium	like eachother	Strawberry													
	Allium	dislike eachother	Pea													
	Allium	dislike eachother	Asparagus													
#OPAL BASIL: An annual herb that is pretty, tasty and said to repel hornWorm! Like the other basils it also does well with peppers, oregano, asparagus and petunias. Keep away from rue and sage.																
#OREGANO: Can be used with most crops but especially good for cabbage. Plant near broccoli, cabbage and cauliflower to repel Cabbage Butterfly and near cucumbers to repel Cucumber Beetle. Also benefits grapes.																
Oregano		help	Brassicas		repel	Cabbage Butterfly										
Oregano		help	Cucumber		repel	Cucumber Beetle										
Oregano		help	Grape													
#PARSLEY: Allies: Asparagus, carrot, chives, onions, roses and tomato. Sprinkle the leaves on tomato, and asparagus. Use as a tea to ward off Asparagus Beetle. Attracts hoverflies. Let some go to seed to attract the tiny parasitic wasps and hoverflies. Parsley increases the fragrance of roses when planted around their base. Rose problems? See: Rose Rx for answers. Mint and parsley are enemies. Keep them well away from one another.																
Parsley		like eachother	Asparagus													
Parsley		like eachother	Carrot													
Parsley		like eachother	Chive													
Parsley		like eachother	Onion													
Parsley		like eachother	Rose													
Parsley		like eachother	Tomato													
Parsley		help	Rose		improve	fragrance										
Parsley		dislike eachother	Mint													
#PARSNIPS: Plant them along with bush bean, garlic, marigolds, onion, pea, pepper, potato, radish and squash. Parsnips like frequent, regular watering, so do not plant them with anything that prefers a drier soil. Like many root vegetables, parsnips taste their best when harvested after a few light frosts which causes them to convert their starch into sugars.																
Parsnip		like	Bean													
Parsnip		like	Garlic													
Parsnip		like	Marigold													
Parsnip		like	Onion													
Parsnip		like	Pea													
Parsnip		like		Capsicum annuum												
Parsnip		like	Potato													
Parsnip		like	Radish													
Parsnip		like	Squash													
#PEANUTS: Beets, corn, cucumber, eggplant, lettuce, marigold, melon, and sunflower all do well around peanuts. Peanuts encourage growth of corn and squash. When planting peanuts with corn and squash, plant the corn first and allow the plants to grow a few inches high before planting peanuts and squash. Plant the peanuts alongside the corn plants about 3 inches from the base of each corn stalk. The squash should then be planted at least 12 inches from the peanuts and corn. Keep peanuts away from basil, fennel, kohlrabi, onion and other legumes.																
Peanut		help	Beetroot													
Peanut		help	Corn		improve	growth										
Peanut		help	Cucumber													
Peanut		help	Eggplant													
Peanut		help	Lettuce													
Peanut		help	Marigold													
Peanut		help	Melon													
Peanut		help	Sunflower													
Peanut		help	Squash		improve	growth										
Peanut		dislike	Basil													
Peanut		dislike	Fennel													
Peanut		dislike	Kohlrabi													
Peanut		dislike	Onion													
Peanut		dislike	Legumes													
#PEACH TREE: Grape, Garlic, Onion and Asparagus may be planted under or near peach trees. In particular garlic may help repel peach tree Borer which are a big problem for peach growers. Keep Potato, Tomato and Raspberry away from peaches.																
Peach		help	Grape													
Garlic		help	Peach		repel	tree Borer										
Onion		help	Peach		repel	tree Borer										
Peach		help	Asparagus													
Peach		dislike eachother	Potato													
Peach		dislike eachother	Tomato													
Peach		dislike eachother	Raspberry													
#PEAS: Peas fix nitrogen in the soil. Plant next to corn. Companions for peas are bush beans, pole beans, carrots, celery, chicory, corn, cucumber, eggplant, parsley, early potato, radish, spinach, strawberry, sweet pepper, tomato and turnips. Do not plant peas with chives, gladiolus, grapes, late potato or onions.																
Pea		like	Bean													
Pea		like	Carrot													
Pea		like	Celery													
Pea		like	Chicory													
Pea		like	Corn													
Pea		like	Cucumber													
Pea		like	Eggplant													
Pea		like	Parsley													
Pea		like	Potato													
Pea		like	Radish													
Pea		like	Spinach													
Pea		like	Strawberry													
Pea		like	Bell pepper													
Pea		like	Tomato													
Pea		like	Turnip													
Pea		dislike	Chive													
Pea		dislike	Gladiolu													
Pea		dislike	Grape													
Pea		dislike		Allium												
#PEPPERMINT: Repels white Cabbage Moth, Aphid and flea Beetle. It is the menthol content in mints that acts as an insect repellant. Bees and other good guys love it. 																
#PEPPERS, BELL? (Sweet Peppers): Plant peppers near tomato, parsley, basil, geraniums, marjoram, lovage, petunia and carrots. Onions make an excellent companion plant for peppers. They do quite well with okra as it shelters them and protects the brittle stems from wind. Don't plant them near fennel or kohlrabi. They should also not be grown near apricot trees because a fungus that the pepper is prone to can cause a lot of harm to the apricot tree. Peppers can double as ornamentals, so tuck some into flowerbeds and borders. Harvesting tip: The traditional bell pepper, for example, is harvested green, even though most varieties will mature red, orange, or yellow. Peppers can be harvested at any stage of growth, but their flavor doesn't fully develop until maturity.																
Bell pepper		like	Tomato													
Bell pepper		like	Parsley													
Bell pepper		like	Basil													
Bell pepper		like	Geranium													
Bell pepper		like	Marjoram													
Bell pepper		like	Lovage													
Bell pepper		like	Petunia													
	Capsicum annuum	like	Carrot													
	Capsicum annuum	like		Allium													
Bell pepper		help	Okra													
Bell pepper		dislike	Fennel													
	Capsicum annuum	dislike	Kohlrabi													
Bell pepper		dislike eachother	Apricot													
#PEPPERS, HOT: Chili peppers have root exudates that prevent root rot and other Fusarium diseases. Plant anywhere you have these problems. While you should always plant chili peppers close together, providing shelter from the sun with other plants will help keep them from drying out and provide more humidity. Tomato plants, green peppers, and okra are good protection for them. Teas made from hot peppers can be useful as insect sprays. Hot peppers like to be grouped with cucumbers, eggplant, escarole, tomato, okra, Swiss chard and squash. Herbs to plant near them include: basils, oregano, parsley and rosemary. Never put them next to any beans, broccoli, cabbage, cauliflower, Brussels sprouts or fennel. 																
Chili		like	Tomato													
Chili		like	Bell pepper													
Chili		like	Okra													
Chili		like	Cucumber													
	Capsicum annuum	like	Eggplant													
Chili		like	Escarole													
Chili		like	Chard													
Chili		like	Squash													
Chili		like	Basil													
Chili		like	Oregano													
Chili		like	Parsley													
Chili		like	Rosemary													
Chili		dislike	Bean													
	Capsicum annuum	dislike		Brassica												
Chili		dislike	Fennel													
#PENNYROYAL: Repels fleas. The leaves when crushed and rubbed onto your skin will repel chiggers, Fly, gnats, Mosquitoes and ticks. Warning: Pennyroyal is highly toxic to cats. It should not be planted where cats might ingest it and never rubbed onto their skin. 																
#PETUNIAS: They repel the Asparagus Beetle, leafhoppers, certain Aphid, Tomato Worm, Mexican Bean Beetle and general garden pests. A good companion to tomato, but plant everywhere. The leaves can be used in a tea to make a potent Bug spray. 																
Petunia		help	Asparagus		repel	Asparagus Beetle										
Petunia		help	Tomato		repel	Tomato Hornworm										
Petunia		help	Bean		repel	Mexican Bean Beetle										
#POACHED EGG PLANT: Grow poached egg plant with tomato, they will attract hover Fly and hover fly eat Aphid. 																
#POTATO: Companions for potato are bush bean, members of the cabbage family, carrot, celery, corn, dead nettle, flax, horseradish, marigold, peas, petunia, onion and Tagetes marigold. Protect them from Scab by putting comfrey leaves in with your potato sets at planting time. Horseradish, planted at the corners of the potato patch, provides general protection. Alyssum makes a perfect living mulch for them. Don't plant these around potato: asparagus, cucumber, kohlrabi, pumpkin, rutabaga, squash family, sunflower, turnip and fennel. Keep potato and tomato apart as they both can get early and late blight contaminating each other. 																
Potato		like	Beans family													
Potato		like		Brassica oleracea													
Potato		like	Carrot													
Potato		like	Celery													
Potato		like	Corn													
Potato		like	Dead nettle													
Potato		like	Flax													
Potato		like	Horseradish													
Potato		like	Pot Marigold													
Potato		like	Petunia													
Potato		like	Onion													
Potato		like	Marigold													
Potato		dislike eachother	Asparagus													
Potato		dislike eachother	Cucumber													
#conflict: Potato		dislike eachother	Rutabaga													
Potato		dislike eachother		Cucurbita												
Potato		dislike eachother	Sunflower													
#conflict: Potato		dislike eachother	Turnip													
Potato		dislike eachother	Fennel													
#PUMPKINS: Pumpkin pals are corn, melon and squash. Marigold deters Beetle. Nasturtiums deters Bug, beetle. Oregano provides general pest protection. Again dill may help repel those frustrating Squash Bug. See squash entry for more tips.																
Pumpkin		like eachother	Corn													
Pumpkin		like eachother	Melon													
Pumpkin		like eachother	Squash													
Pumpkin		like	Marigold		repel	Beetle										
Pumpkin		like	Nasturtiums		repel	Bug, Beetle										
Pumpkin		like	Oregano		improve	pest_resistance										
Pumpkin		like	Dill		repel	Squash Bug										
#PURSLANE: This edible weed makes good ground cover in the corn patch. Use the stems, leaves and seeds in stir-frys. Pickle the green seed pod for caper substitutes. If purslane is growing in your garden it means you have healthy, fertile soil! 																
#RADISH: One of the workhorses for the garden. Companions for radishes are: radish, Beet, bush beans, pole beans, carrots, chervil, cucumber, lettuce, melons, nasturtium, parsnip, peas, spinach and members of the squash family. Why plant radishes with your squash plants? Radishes may protect them from Squash Borer. Anything that will help keep them away is worth a try. Radishes are a deterrent against Cucumber Beetle and Rust Fly. Chervil and nasturtium improve radish growth and flavor. Planting them around corn and letting them go to seed will also help fight corn borer. Chinese Daikon and Snow Belle radishes are favorites of flea beetle. Plant these at 6 to 12 inch intervals amongst broccoli. In one trial, this measurably reduced damage to broccoli. Radishes will lure leafminers away from spinach. The damage the leafminers do to radish leaves does not stop the radish roots from growing, a win-win situation. Keep radishes away from hyssop plants, cabbage, cauliflower, Brussels sprouts and turnips. Radishes are a good indicator of calcium levels in the soil. If you radish grows and only produces a stringy root you need calcium. See our charts on nutrient deficiencies and soil amendments for more information. For some good eating try our delicious Radish varieties.																
Radish		like	Beetroot													
Radish		like	Bush bean													
Radish		like	Pole bean													
Radish		like	Carrot													
Radish		like	Chervil													
Radish		help	Cucumber		repel	Cucumber Beetle, Rust Fly										
Radish		like	Lettuce													
Radish		like	Melon													
Radish		like	Nasturtiums													
Radish		like	Parsnip													
Radish		like	Pea													
Radish		like	Spinach													
Radish		help		Cucurbitaceae	repel	Squash Borer										
Radish		like	Corn		repel	Borer										
Radish		dislike	Hyssop													
Radish		dislike	Cabbage													
Radish		dislike	Cauliflower													
Radish		dislike	Brussels sprouts													
Radish		dislike	Turnip													
#RASPBERRIES: Companions are rue, marigold and garlic which help repel Insects from the berries. The garlic accumulates sulfur which is a natural fungicide so when planted with raspberries, garlic will help prevent fungal diseases. Turnips can be beneficial companions as they repel the Harlequin Beetle. Foes: Blackberries, black raspberry, purple raspberry, tomato and potato. Blackberries, black and purple raspberries should be planted at least 600 feet away from the red varieties because of virus disease susceptibility. Raspberries grown with potato make the potato more susceptible to blight.																
Raspberry		like	Rue		repel	Insects										
Raspberry		like	Marigold		repel	Insects										
Raspberry		like	Garlic		repel	Insects										
Raspberry		like	Turnip		repel	Harlequin Beetle										
Raspberry		dislike	Blackberry													
Raspberry		dislike	Black raspberry													
Raspberry		dislike	Purple raspberry													
Raspberry		dislike	Tomato													
Raspberry		dislike	Potato													
#RHUBARB: A good companion to all brassicas. Try planting cabbage and broccoli plants your rhubarb patch watch them thrive. Rhubarb protects beans against Black Fly. Some other interesting companions for rhubarb are the beautiful columbine flowers, garlic, onion and roses! It helps deter Red Spider mites from the columbines. A spray made from boiled rhubarb leaves, which contain the poison oxalic acid may be used to prevent blackspot on roses and as an aphicide.
Rhubarb		help eachother	Brassicas		improve	growth										
Rhubarb		help	Bean		repel	Black Fly										
Rhubarb		help	Columbine flower		repel	Red Spider										
Rhubarb		like		Allium												
Rhubarb		like	Rose													
#ROSEMARY: Companion plant to cabbage, beans, carrots and sage. Deters Cabbage Moth, Bean Beetle, and Carrot Fly. Use cuttings to place by the crowns of carrots for carrot fly. Zones 6 and colder can overwinter rosemary as houseplants or take cuttings. 																
Rosemary		help	Cabbage		repel	Cabbage Moth										
Rosemary		help	Bean		repel	Bean Beetle										
Rosemary		help	Carrot		repel	Carrot Fly										
Rosemary		like eachother	Sage													
#RUE: Deters Aphid, fish moth, flea Beetle, onion maggot, slugs, snails, Fly and Japanese Beetle in roses and raspberries. Companions for rue are roses, fruits (in particular figs), raspberries and lavender. To make it even more effective with Japanese beetle: crush a few leaves to release the smell. Has helped repel cats for us. You should not plant rue near cucumbers, cabbage, basil or sage. A pretty perennial with bluish-gray leaves. May be grown indoors in a sunny window. Rue may cause skin irritation in some individuals. Remedy: See cats and dogs: Rue spray. 																
Rue		help	Onion		repel	onion maggot										
Rue		help	Rose		repel	Japanese Beetle										
Rue		help	Raspberry		repel	Japanese Beetle										
Rue		dislike eachother	Lavender													
Rue		dislike eachother	Cucumber													
Rue		dislike eachother	Cabbage													
Rue		dislike eachother	Basil													
Rue		dislike eachother	Sage													
#RYE: An excellent use of plant allelopathy is the use of mow-killed grain rye as a mulch. The allelochemicals that leach from the rye residue prevent weed germination but do not harm transplanted tomato, broccoli, or many other vegetables. 																
#SAGE: Use as a companion plant with broccoli, cauliflower, rosemary, cabbage, and carrots to deter Cabbage Moth, Beetle, black flea beetle and Carrot Fly. Do not plant near cucumbers, onions or rue. Sage repels cabbage moth and black flea beetle. Allowing sage to flower will also attract many beneficial Insects and the flowers are pretty. There are some very striking varieties of sage with variegated foliage that can be used for their ornamental as well as practical qualities. More on sage.																
Sage		help	Brassicas		repel	Cabbage Moth										
Sage		help	Rosemary													
Sage		help	Carrot		repel	Carrot Fly										
Sage		dislike eachother	Cucumber													
Sage		dislike eachother	Onion													
Sage		dislike eachother	Rue													
#SALISFY: (AKA "oyster plant") Plant allies: Carrots, leeks, onions, turnips, rutabaga, potato and sweet potato.																
Salisfy		like eachother	Carrot													
Salisfy		like eachother	Leek													
Salisfy		like eachother	Onion													
Salisfy		like eachother	Turnip													
Salisfy		like eachother	Rutabaga													
Salisfy		like eachother	Potato													
Salisfy		like eachother	Sweet potato													
#SPINACH: Plant with peas and beans as they provide natural shade for the spinach. Gets along with cabbage, cauliflower, celery, eggplant, onion, peas, strawberries and fava bean. Plant spinach with squash. It's a good use of space because by the time squash plants start to get big the spinach is ready to bolt.
Spinach		like	Beans													
Spinach		like		Brassica												
Spinach		like	Celery													
Spinach		like	Eggplant													
Spinach		like	Onion													
Spinach		like	Strawberry													
Spinach		like	Broadbean													
Spinach		like eachother	Squash													
#SOUTHERNWOOD: Plant with cabbage, and here and there in the garden. Wonderful lemony scent when crushed or brushed in passing. Roots easily from cuttings. Does not like fertilizer! It is a perennial that can get quite bushy. We have started to cut it back every spring and it comes back in not time. A delightful plant that is virtually pest free. 																
Southernwood		like eachother	Cabbage													
#SOYBEANS: They add nitrogen to the soil making them a good companion to corn. They repel chinch Bug and Japanese Beetle. Why not try soybeans, they are good for you. They are many tasty ways to prepare them. 																
Soybean		like eachother	Corn													
#SQUASH: Companions: Beans, corn, cucumbers, icicle radishes, melon, mint, onions and pumpkin. Helpers: Borage deters Worm, improves growth and flavor. Marigolds deters Beetle. Nasturtiums deters Squash Bug and beetle. Oregano provides general pest protection. Dill may repel the squash bug that will kill your squash vines. Generously scatter the dill leaves on your squash plants. Keep squash away from potato. 																
Squash		like	Bean													
Squash		like	Corn													
Squash		like	Cucumber													
Squash		like	Icicle radishe													
Squash		like	Melon													
Squash		like	Mint													
Squash		like	Onion													
Squash		like	Pumpkin													
Squash		like	Borage		repel	Worm										
Squash		like	Marigold		repel	Beetle										
Squash		like	Nasturtiums		repel	Squash Bug										
Squash		like	Oregano		improve	pest_resistance										
Squash		like	Dill		repel	Squash Bug										
Squash		dislike eachother	Potato													
#SWEET potato: Sweet potato are not the same as regular potato. They are a member of the morning glory family. "Regular" potato are a member of the Solanaceae family which is the same as tomato, peppers etc. Aromatic herbs such as dill, thyme, oregano etc. are some of the plants that work well with them. Summer savory helps to confuse and perhaps repel the Sweet Potato Weevil. They do well with root crops: Beets, parsnips and salsify. Bush beans and regular potato are companions to them also. Alyssum makes a perfect living mulch for them. A few, only a few, pole beans may be planted with them and left to grow on the ground with the potato vines. Keep them away from squash. The problem with sweet potato and squash is they will compete with each other as they both like to spread out. In fact that is the general problem with sweet potato- they take up so much room and need full sun. Another idea is to grow them in a container. For your reference: you could grow a single sweet potato plant in a box or tub that is at least 12" high and 15" wide. Use a light, porous soil mix. Place a stake or trellis in the center to support the vine which grow up and outwards.																
Sweet potato		like	Aromatic herbs													
Sweet potato		like	Summer savory		repel	Sweet Potato Weevil										
Sweet potato		like	Beetroot													
Sweet potato		like	Parsnip													
Sweet potato		like	Salsify													
Sweet potato		like	Bush bean													
Sweet potato		like	Potato													
Sweet potato		dislike eachother	Squash													
#STRAWBERRY: Friends are beans, borage, lettuce, onions, spinach and thyme. Foes: Cabbage, broccoli, Brussels sprouts, cauliflower and kohlrabi. Allies: Borage strengthens resistance to Insects and disease. Thyme, as a border, deters Worm.																
Strawberry		like	Beans family													
Strawberry		like	Borage		improve	pest resistance										
Strawberry		like	Lettuce													
Strawberry		like		Allium												
Strawberry		like	Spinach													
Strawberry		like	Thyme		repel	Worm										
Strawberry		dislike	Brassicas													
#SUMMER SAVORY: Plant with beans and onions to improve growth and flavor. Include it with sweet potato. Discourages Cabbage Moth, Mexican Bean Beetle, Sweet Potato Weevil and black Aphid. Honey bees love it when it is in bloom.																
Summer savory		help	Beans family		repel	Bean Beetle										
Summer savory		help	Beans family		improve	growth, flavor										
Summer savory		help		Allium	improve	growth, flavor										
Summer savory		help	Chamomile		improve	flavor										
Summer savory		help	Sweet potato		repel	Sweet Potato Weevil										
#SUNFLOWERS: Planting sunflowers with corn is said by some to increase the yield. Aphid a problem? Definitely plant a few sunflowers here and there in the garden. Step back and watch the ants herd the aphid onto them. We have Been doing this for years and it is remarkable. The sunflowers are so tough that the aphid cause very little damage and you will have nice seed heads for the birds to enjoy. Sunflowers also attract hummingbirds which eat whiteflies. Talk about a symbiotic relationship! 																
Sunflower		like eachother	Corn													
#SWEET ALYSSUM: Direct seed or set out starts of sweet alyssum near plants that have Been attacked by Aphid in the past. Alyssum flowers attract hoverflies whose larva devour aphid. Another plus is their blooms draw bees to pollinate early blooming fruit trees. They will reseed freely and make a beautiful groundcover every year.																
#TANSY: Plant with fruit trees, roses and raspberries keeping in mind that it can be invasive and is not the most attractive of plants. Tansy which is often recommended as an ant repellant may only work on sugar type ants. These are the ones that you see on peonies and marching into the kitchen. At least for us placing tansy clippings by the greenhouse door has kept them out. Deters Flying Insects, Japanese Beetle, striped Cucumber Beetle, Squash Bug, ants and mice! Tie up and hang a bunch of tansy leaves indoors as a fly repellent. Use clippings as a mulch as needed. Don't be afraid to cut the plant up as tansy will bounce back from any abuse heaped on it! It is also a helpful addition to the compost pile with its' high potassium content.																
Tansy		help	Fruit trees													
Tansy		help	Rose													
Tansy		help	Raspberry													
Tansy		help	Cucumber		repel	Cucumber Beetle										
Tansy		help	Squash		repel	Squash Bug										
#TARRAGON: Plant throughout the garden, not many pests like this one. Recommended to enhance growth and flavor of vegetables.																
#THYME: Deters Cabbage Worm. Wooly thyme makes a wonderful groundcover. You may want to use the upright form of thyme in the garden rather than the groundcover types. Thyme is easy to grow from seeds or cuttings. Older woody plants should be divided in spring.																
Thyme		help		Brassica	repel	Cabbage Worm										
#tomato: Tomato allies are many: asparagus, basil, bean, carrots, celery, chive, cucumber, garlic, head lettuce, marigold, mint, nasturtium, onion, parsley, pea, pepper, marigold, pot marigold and sow thistle. One drawback with tomato and carrots: tomato plants can stunt the growth of your carrots but the carrots will still be of good flavor. Basil repels Fly and Mosquitoes, improves growth and flavor. Bee balm, chives and mint improve health and flavor. Borage deters Tomato Worm, improves growth and flavor. Dill, until mature, improves growth and health, mature dill retards tomato growth. Enemies: keep corn and tomato apart as they are attacked by the same worm. Known as the Corn Earworm or tomato fruitworm. In the caterpillar phase of its life, it causes damage to fresh sweet corn by burrowing into the tops and in tomato, they chew a hole in the stem end, ruining the fruit, and in peppers they form small brown holes as they bore in and out of the developing fruit. Kohlrabi stunts tomato growth. Keep potato and tomato apart as they both can get early and late blight contaminating each other. Keep apricot, dill, fennel, cabbage and cauliflower away from them. Don't plant them under walnut trees as they will get walnut Wilt: a disease that attacks tomato growing underneath these trees.																
Tomato		like	Asparagus													
Tomato		like	Basil		repel	Fly, Mosquitoes										
Tomato		like	Bean													
Tomato		like	Carrot													
Tomato		like	Celery													
Tomato		like	Chive		improve	growth, flavor										
Tomato		like	Cucumber													
Tomato		like	Garlic													
Tomato		like	Lettuce													
Tomato		like	Marigold													
Tomato		like	Mint		improve	growth, flavor										
Tomato		like	Nasturtiums													
Tomato		like	Onion													
Tomato		like	Parsley													
Tomato		like	Pea													
Tomato		like eachother		Capsicum annuum												
Tomato		like	Marigold													
Tomato		like	Pot Marigold													
Tomato		like	Sow thistle													
Tomato		like	Carrot													
Tomato		like	Bee balm		improve	growth, flavor										
Tomato		like	Chive													
Tomato		like	Mint													
Tomato		like	Borage		repel	Tomato Hornworm										
#conflict: Tomato		like	Dill													
Tomato		dislike	Corn													
Kohlrabi		inhibit	Tomato													
Tomato		dislike	Potato													
Tomato		dislike	Apricot													
Tomato		dislike	Dill													
Tomato		dislike	Fennel													
Tomato		dislike	Brassicas													
#TURNIP: Peas are good companions for turnips due to their nitrogen fixing in the soil. Cabbage does well with turnips because of the turnip's tendency to repel certain pests. Do not plant potato, radishes or other root vegetables near your turnips. These vegetables will compete for nutrients with the turnips and reduce crop size and yield. Other plants that do not do well with turnips are delphinium, larkspur and mustard.																
Turnip		like	Pea													
Turnip		help	Cabbage		improve	pest_resistance										
# conflict: Turnip		dislike	Potato													
Turnip		dislike	Radish													
Turnip		dislike	Mustard plants													
#Watermelon: May be planted in between hills of corn. Grow them with corn, nasturtiums, peas, sunflowers, squash, cucumbers, pumpkins and radishes. Nasturtiums helps to deter Bug and Beetle. Oregano provides general pest protection.																
Watermelon		like	Corn													
Watermelon		like	Nasturtiums													
Watermelon		like	Pea													
Watermelon		like	Sunflower													
Watermelon		like	Squash													
Watermelon		like	Cucumber													
Watermelon		like	Pumpkin													
Watermelon		like	Radish		repel	Bug, Beetle										
Watermelon		like	Oregano		improve	pest_resistance										
#WHITE GERANIUMS: These members of the pelargonum family draw Japanese Beetle to feast on the foliage which in turn kills them.																
#WormWOOD: Keeps animals out of the garden when planted as a border. An excellent deterrent to most Insects. Don't plant wormwood with peas or beans. A tea made from wormwood will repel Cabbage Moth, slugs, snails, black flea Beetle and fleas effectively. The two best varieties for making insect spray are Silver King and Powis Castle. Adversely Powis castle attracts ladyBugs which in turn breed directly on the plant. Silver Mound is great as a border plant and the most toxic wormwood. Note: As wormwood actually produces a botanical poison do not use it directly on food crops.																
Wormwood		dislike eachother	Beans family													
#YARROW: Yarrow has insect repelling qualities and is an excellent natural fertilizer. A handful of yarrow leaves added to the compost pile really speeds things up. Try it! It also attracts predatory wasps and ladyBugs to name just two. It may increase the essential oil content of herbs when planted among them. Yarrow has so many wonderful properties to it and is an ingredient in our own Golden Harvest Fertilizer. 																
#ZINNIA: Pretty zinnias attract hummingbirds which eat whiteflies. Alternately the pastel varieties of zinnias can be used as a trap crop for Japanese Beetle. All zinnias attract bees and other insect pollinators. 																
